Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,01/03/2025,19:30,Karlsruhe,FC Koln,1,0,H,,,,,,16,15,4,3,0,0
2024/25,01/03/2025,12:00,Nurnberg,Hannover,1,2,A,,,,,,13,26,2,5,0,0
2024/25,02/03/2025,12:30,Elversberg,Hertha,4,0,H,,,,,,7,18,0,1,0,0
2024/25,02/03/2025,12:30,Magdeburg,Darmstadt,4,1,H,,,,,,14,12,1,4,0,0
2024/25,02/03/2025,12:30,Paderborn,Hamburg,2,0,H,,,,,,13,11,2,1,0,0
2024/25,07/03/2025,17:30,Darmstadt,Karlsruhe,3,0,H,,,,,,6,10,0,2,0,0
2024/25,07/03/2025,17:30,Kaiserslautern,Elversberg,1,1,D,,,,,,15,15,4,2,0,0
2024/25,08/03/2025,12:00,Greuther Furth,Magdeburg,1,1,D,,,,,,9,10,2,2,0,0
2024/25,08/03/2025,19:30,Hamburg,Dusseldorf,4,1,H,,,,,,11,9,1,4,0,0
2024/25,08/03/2025,12:00,Hertha,Schalke 04,1,2,A,,,,,,13,4,2,3,0,0
2024/25,08/03/2025,12:00,Ulm,FC Koln,0,1,A,,,,,,9,11,0,1,0,0
2024/25,09/03/2025,12:30,Hannover,Braunschweig,1,1,D,,,,,,12,11,2,3,0,0
2024/25,09/03/2025,12:30,Preußen Münster,Nurnberg,0,1,A,,,,,,19,12,4,1,0,0
2024/25,09/03/2025,12:30,Regensburg,Paderborn,0,0,D,,,,,,19,17,3,2,0,0
2024/25,14/03/2025,17:30,Magdeburg,Hamburg,0,3,A,,,,,,6,8,1,2,0,0
2024/25,14/03/2025,17:30,Schalke 04,Hannover,1,2,A,,,,,,16,9,2,3,0,0
2024/25,15/03/2025,12:00,Dusseldorf,Regensburg,1,0,H,,,,,,14,17,1,1,0,0
2024/25,15/03/2025,12:00,Elversberg,Preußen Münster,0,1,A,,,,,,10,16,0,3,0,0
2024/25,15/03/2025,19:30,FC Koln,Darmstadt,2,1,H,,,,,,13,12,1,3,0,1
2024/25,15/03/2025,12:00,Paderborn,Kaiserslautern,5,3,H,,,,,,16,12,3,2,0,0
2024/25,16/03/2025,12:30,Braunschweig,Hertha,1,5,A,,,,,,8,11,0,1,0,0
2024/25,16/03/2025,12:30,Karlsruhe,Ulm,0,0,D,,,,,,13,14,1,3,0,0
2024/25,16/03/2025,12:30,Nurnberg,Greuther Furth,3,0,H,,,,,,12,10,3,2,0,0
2024/25,28/03/2025,17:30,Hamburg,Elversberg,0,0,D,,,,,,12,10,0,3,0,0
